month,temperature
Jan,-0.44
Feb,1.61
Mar,11.56
Apr,18.5
May,22.06
Jun,26.06
Jul,29.67
Aug,30.28
Sep,24.39
Oct,19.39
Nov,12.17
Dec,5.17
