month,Alabama,Alaska
Jan,6.89,-7.33
Feb,10.17,-8.17
Mar,17.56,-5.06
Apr,25.56,1.78
May,27.56,9.17
Jun,31.83,12.39
Jul,33.39,16.61
Aug,32.33,16.28
Sep,31.44,9.89
Oct,25.33,-1.22
Nov,22.39,-4.67
Dec,15.11,-8.28
