scientific_name,city,long,lat,count
Others,Honolulu,-158.0,21.0,7140
Others,Houston,-94.0,31.0,117143
Others,Huntington Beach,-118.0,34.0,39183
Others,Kailua,-158.0,21.0,5393
Others,Kaneohe,-158.0,21.0,1929
Others,Kellogg,-93.0,42.0,91
Others,Knoxville,-84.0,36.0,6854
Others,Las Vegas,-115.0,36.0,31147
Others,Los Angeles,-118.0,34.0,320017
Others,Louisville,-86.0,38.0,28084
Others,Madison,-89.0,43.0,37798
Others,Marietta,-85.0,34.0,75
Others,Milo,-93.0,41.0,299
Others,Milwaukee,-88.0,43.0,7151
Others,Minneapolis,-95.0,42.0,110915
Others,Mitchellville,-93.0,42.0,177
Others,Monroe,-93.0,42.0,342
Others,Nashville,-87.0,36.0,1447
Others,New Berlin,-88.0,43.0,4660
Others,New York,-74.0,41.0,327952
Others,Newton,-93.0,42.0,2674
Others,Oak Creek,-88.0,43.0,152
Others,Oakland,-111.0,39.0,23532
Others,Oklahoma City,-98.0,35.0,7460
Others,Ontario,-117.0,35.0,43278
Others,Overland Park,-95.0,39.0,23289
Others,Panora,-94.0,42.0,136
Others,Pittsburgh,-80.0,40.0,20900
Others,Pleasant Hill,-94.0,42.0,1271
Others,Polk City,-94.0,42.0,93
Others,Portland,-123.0,46.0,179803
Others,Prairie City,-93.0,42.0,277
Others,Providence,-71.0,42.0,9128
Others,Rancho Cucamonga,-118.0,34.0,52659
Others,Redfield,-94.0,42.0,111
Others,Rochester,-76.0,42.0,27020
Others,Sacramento,-121.0,38.0,57659
Others,San Diego,-117.0,33.0,195797
Others,San Francisco,-122.0,38.0,154806
Others,San Jose,-122.0,37.0,181081
Others,SandySprings,-84.0,34.0,208
Others,Santa Rosa,-123.0,38.0,1125
Others,Seattle,-122.0,48.0,135069
Others,Shorewood,-88.0,43.0,82
Others,Sioux Falls,-97.0,44.0,27058
Others,South Milwaukee,-88.0,43.0,365
Others,St. Louis,-90.0,39.0,47564
Others,Stockton,-116.0,37.0,70083
Others,Stuart,-94.0,42.0,267
Others,Sully,-93.0,42.0,108
Others,Tampa,-82.0,28.0,15097
Others,Tucker,-84.0,34.0,55
Others,Unincorporated,-84.0,34.0,406
Others,Union,-93.0,42.0,137
Others,Washington DC,-77.0,39.0,133356
Others,Watertown,-89.0,43.0,3685
Others,Waukee,-94.0,42.0,1414
Others,Wauwatosa,-88.0,43.0,1250
Others,West Allis,-88.0,43.0,989
Others,West Milwaukee,-88.0,43.0,89
Others,Windsor Heights,-94.0,42.0,305
Others,Woodward,-94.0,42.0,345
Platanus acerifolia,Albuquerque,-107.0,35.0,186
Platanus acerifolia,Anaheim,-118.0,34.0,1095
Platanus acerifolia,Baltimore,-77.0,39.0,6056
Platanus acerifolia,Buffalo,-79.0,43.0,1897
Platanus acerifolia,Columbus,-83.0,40.0,3916
Platanus acerifolia,Denver,-105.0,40.0,1814
Platanus acerifolia,Detroit,-83.0,42.0,980
Platanus acerifolia,Durham,-79.0,36.0,54
Platanus acerifolia,Garden Grove,-118.0,34.0,593
Platanus acerifolia,Huntington Beach,-118.0,34.0,574
Platanus acerifolia,Los Angeles,-118.0,34.0,8070
Platanus acerifolia,Louisville,-86.0,38.0,131
Platanus acerifolia,Madison,-90.0,43.0,119
Platanus acerifolia,Nashville,-87.0,36.0,281
Platanus acerifolia,New York,-74.0,41.0,87014
Platanus acerifolia,Oakland,-102.0,38.0,3788
Platanus acerifolia,Oklahoma City,-98.0,36.0,90
Platanus acerifolia,Ontario,-116.0,36.0,3328
Platanus acerifolia,Overland Park,-95.0,39.0,492
Platanus acerifolia,Pittsburgh,-80.0,40.0,3224
Platanus acerifolia,Providence,-71.0,42.0,1702
Platanus acerifolia,Rancho Cucamonga,-118.0,34.0,5698
Platanus acerifolia,Rochester,-76.0,42.0,2969
Platanus acerifolia,Sacramento,-121.0,38.0,14085
Platanus acerifolia,San Diego,-117.0,33.0,1907
Platanus acerifolia,San Francisco,-122.0,38.0,11876
Platanus acerifolia,San Jose,-122.0,37.0,26291
Platanus acerifolia,Santa Rosa,-123.0,38.0,87
Platanus acerifolia,Seattle,-122.0,48.0,1769
Platanus acerifolia,St. Louis,-90.0,39.0,2358
Platanus acerifolia,Stockton,-114.0,38.0,7552
Platanus acerifolia,Washington DC,-77.0,39.0,5745
Pyrus calleryana,Anaheim,-118.0,34.0,280
Pyrus calleryana,Arlington,-97.0,33.0,241
Pyrus calleryana,Aurora,-105.0,40.0,1490
Pyrus calleryana,Austin,-98.0,30.0,62
Pyrus calleryana,Baltimore,-77.0,39.0,4747
Pyrus calleryana,Buffalo,-79.0,43.0,1443
Pyrus calleryana,Columbus,-83.0,40.0,9245
Pyrus calleryana,Denver,-105.0,40.0,7133
Pyrus calleryana,Detroit,-83.0,42.0,190
Pyrus calleryana,Durham,-79.0,36.0,237
Pyrus calleryana,Garden Grove,-118.0,34.0,467
Pyrus calleryana,Houston,-94.0,32.0,2621
Pyrus calleryana,Huntington Beach,-118.0,34.0,1233
Pyrus calleryana,Knoxville,-84.0,36.0,58
Pyrus calleryana,Los Angeles,-118.0,34.0,4742
Pyrus calleryana,Louisville,-86.0,38.0,387
Pyrus calleryana,New Berlin,-88.0,43.0,72
Pyrus calleryana,New York,-74.0,40.0,58931
Pyrus calleryana,Oakland,-98.0,38.0,2683
Pyrus calleryana,Oklahoma City,-98.0,36.0,263
Pyrus calleryana,Ontario,-117.0,36.0,2793
Pyrus calleryana,Overland Park,-98.0,39.0,1357
Pyrus calleryana,Pittsburgh,-80.0,40.0,2969
Pyrus calleryana,Providence,-71.0,42.0,2597
Pyrus calleryana,Rancho Cucamonga,-118.0,34.0,4941
Pyrus calleryana,Rochester,-76.0,42.0,683
Pyrus calleryana,Sacramento,-121.0,38.0,4266
Pyrus calleryana,San Diego,-117.0,33.0,1986
Pyrus calleryana,San Francisco,-122.0,38.0,4029
Pyrus calleryana,San Jose,-122.0,37.0,9631
Pyrus calleryana,Seattle,-122.0,48.0,4467
Pyrus calleryana,St. Louis,-91.0,38.0,7210
Pyrus calleryana,Stockton,-114.0,38.0,5296
Pyrus calleryana,Washington DC,-77.0,39.0,953
Pyrus calleryana,Watertown,-89.0,43.0,397
Quercus virginiana,Anaheim,-118.0,34.0,99
Quercus virginiana,Arlington,-97.0,33.0,1081
Quercus virginiana,Atlanta,-84.0,34.0,97
Quercus virginiana,Austin,-98.0,30.0,790
Quercus virginiana,Cape Coral,-82.0,27.0,5727
Quercus virginiana,Durham,-79.0,36.0,92
Quercus virginiana,Houston,-92.0,33.0,44059
Quercus virginiana,Las Vegas,-115.0,36.0,393
Quercus virginiana,Los Angeles,-118.0,34.0,132
Quercus virginiana,Oklahoma City,-98.0,36.0,56
Quercus virginiana,Rancho Cucamonga,-118.0,34.0,351
Quercus virginiana,San Francisco,-122.0,38.0,58
Quercus virginiana,San Jose,-122.0,37.0,2947
Quercus virginiana,Stockton,-116.0,37.0,137
Quercus virginiana,Tampa,-82.0,28.0,5379
Tilia cordata,Aurora,-105.0,40.0,280
Tilia cordata,Baltimore,-77.0,39.0,5932
Tilia cordata,Buffalo,-79.0,43.0,9156
Tilia cordata,Colorado Springs,-105.0,39.0,199
Tilia cordata,Columbus,-83.0,40.0,4102
Tilia cordata,Denver,-105.0,40.0,12961
Tilia cordata,Detroit,-83.0,42.0,571
Tilia cordata,Durham,-79.0,36.0,52
Tilia cordata,Knoxville,-84.0,36.0,78
Tilia cordata,Louisville,-86.0,38.0,122
Tilia cordata,Madison,-90.0,43.0,3894
Tilia cordata,Milwaukee,-88.0,43.0,267
Tilia cordata,Minneapolis,-96.0,41.0,12687
Tilia cordata,New Berlin,-88.0,43.0,118
Tilia cordata,New York,-74.0,40.0,29742
Tilia cordata,Newton,-93.0,42.0,54
Tilia cordata,Overland Park,-95.0,39.0,900
Tilia cordata,Pittsburgh,-80.0,40.0,2413
Tilia cordata,Providence,-72.0,42.0,904
Tilia cordata,Rochester,-76.0,42.0,3329
Tilia cordata,San Francisco,-122.0,38.0,131
Tilia cordata,San Jose,-122.0,37.0,358
Tilia cordata,Seattle,-122.0,48.0,2718
Tilia cordata,Sioux Falls,-97.0,44.0,3090
Tilia cordata,St. Louis,-90.0,39.0,3682
Tilia cordata,Stockton,-114.0,38.0,895
Tilia cordata,Washington DC,-77.0,39.0,2705
Tilia cordata,Watertown,-89.0,43.0,401
Tilia cordata,Waukee,-94.0,42.0,122
