City,1st tree,2nd tree,3rd tree,4th tree,5th tree,others
Anaheim,5266,4379,3771,2567,2317,36121
SanJose,26291,24316,21636,14644,9631,168288
SanFrancisco,11925,8681,8509,8236,7793,129924
Sacramento,14111,4580,4285,4146,4047,53091
Stockton,11392,7552,7354,7179,5296,58934
