state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Connecticut,2008,3.78,3.67,7.94,16.67,19.33,26.33,28.5,26.0,22.89,16.22,9.33,5.11
Connecticut,2013,3.0,2.78,6.61,14.78,21.33,25.56,29.28,26.0,22.5,18.0,9.83,4.11
Connecticut,2018,1.44,7.06,6.94,12.06,23.11,25.0,29.17,28.56,23.39,16.22,8.06,5.5
Connecticut,2023,6.72,6.5,8.94,17.0,21.06,24.39,29.22,26.0,23.61,18.94,,
Delaware,1978,2.89,0.5,9.33,17.33,21.11,27.72,28.56,29.67,25.72,19.72,13.94,9.5
Delaware,1983,5.72,6.11,12.06,16.17,22.17,27.78,31.61,30.39,26.78,19.5,14.11,6.44
Delaware,1988,3.11,7.5,12.83,15.67,22.5,28.72,31.67,30.5,24.61,17.06,14.44,7.83
Delaware,1993,7.72,5.11,9.22,17.0,23.78,27.78,31.61,29.89,25.67,19.33,14.28,6.72
Delaware,1998,10.0,9.61,12.67,19.11,23.89,27.22,30.39,29.89,27.89,20.17,14.78,10.89
Delaware,2003,3.0,4.5,13.33,16.78,19.89,26.22,29.78,29.78,25.89,19.28,16.5,8.22
Delaware,2008,7.56,9.89,13.56,18.78,22.22,30.22,31.06,29.22,26.39,19.61,12.0,10.33
Delaware,2013,7.72,6.61,9.5,18.67,23.11,28.33,31.0,27.94,25.39,20.67,12.83,9.72
Delaware,2018,5.78,11.56,9.39,16.89,25.83,27.78,30.44,31.0,27.06,20.83,12.22,9.83
Delaware,2023,11.0,11.61,13.28,21.0,22.67,26.94,30.83,29.0,25.94,22.0,,
Florida,1978,17.0,16.94,23.0,28.17,30.67,32.28,32.5,32.61,32.17,28.33,26.61,22.89
Florida,1983,18.72,19.94,22.0,25.5,29.89,31.28,33.56,33.28,30.72,28.5,23.72,20.44
Florida,1988,18.22,20.72,23.56,27.67,29.67,32.0,32.56,32.67,31.56,27.78,25.78,21.83
Florida,1993,22.56,20.67,22.94,25.72,29.5,32.78,33.78,33.61,32.06,28.44,24.39,20.06
Florida,1998,21.44,21.33,22.89,27.17,31.89,35.39,34.06,33.5,31.0,29.61,26.44,23.89
Florida,2003,18.33,22.83,26.44,27.17,31.33,31.5,32.39,31.94,31.0,28.56,26.33,20.22
Florida,2008,20.67,23.94,24.72,27.28,30.94,33.0,32.44,31.89,31.39,27.5,23.06,22.83
Florida,2013,23.72,23.0,22.17,28.06,29.44,32.17,31.61,32.72,31.61,28.83,24.78,23.83
Florida,2018,18.83,26.28,24.28,27.83,29.89,32.72,32.89,32.78,32.78,30.11,25.0,22.0
Florida,2023,23.33,26.17,27.22,29.0,30.61,32.39,34.11,34.61,32.22,28.61,,
Georgia,1978,8.94,10.89,18.67,25.83,27.78,31.94,32.89,32.06,31.0,25.28,22.33,16.0
Georgia,1983,11.22,14.33,18.33,21.78,27.78,29.83,33.83,33.89,28.33,24.67,19.17,12.67
Georgia,1988,10.72,15.22,20.0,24.72,27.94,32.28,32.44,32.67,28.44,22.56,20.22,15.89
Georgia,1993,15.28,14.11,17.72,22.67,27.78,32.11,35.28,32.94,30.83,24.22,18.83,13.72
Georgia,1998,15.39,16.0,18.28,23.33,30.0,34.22,33.94,32.61,30.22,26.39,21.72,17.39
Georgia,2003,12.17,15.67,20.72,23.67,27.83,30.17,31.06,31.22,28.83,24.56,22.28,13.94
Georgia,2008,13.22,18.06,20.67,23.78,28.22,33.22,32.72,31.39,29.33,23.44,17.78,17.06
Georgia,2013,17.5,15.56,16.89,24.0,26.56,30.78,30.28,30.44,29.17,24.67,18.17,16.44
Georgia,2018,12.33,20.83,19.44,23.22,29.33,32.22,32.11,31.78,32.22,26.39,17.56,15.33
Georgia,2023,17.28,21.11,22.11,24.94,26.83,30.33,33.33,33.61,29.83,25.22,,
Idaho,1978,1.0,2.67,9.17,10.39,14.0,21.67,26.22,24.72,18.78,16.0,3.11,-3.11
Idaho,1983,1.94,3.72,6.89,9.33,15.94,20.33,24.44,26.67,20.06,13.78,4.44,-4.22
Idaho,1988,-1.44,4.5,6.94,13.89,17.17,24.72,28.61,27.67,20.94,18.89,3.11,-1.39
Idaho,1993,-2.39,-0.06,6.78,9.72,19.5,18.67,20.56,23.5,21.22,13.94,3.06,0.44
Idaho,1998,1.72,3.33,6.72,11.67,15.89,18.61,29.33,28.67,23.5,13.0,5.06,-1.06
Idaho,2003,3.67,2.56,7.72,10.89,17.11,23.39,30.94,28.72,22.17,16.78,2.78,1.67
Idaho,2008,-1.89,2.61,4.78,9.39,16.5,21.33,28.44,27.28,21.83,13.94,7.61,-0.61
Idaho,2013,-1.61,2.56,8.0,11.11,18.0,23.39,30.11,28.78,20.67,12.33,6.28,-1.22
Idaho,2018,3.39,1.72,6.5,12.11,19.17,21.78,29.39,27.11,22.06,13.0,5.17,0.0
Idaho,2023,-0.44,1.22,3.11,10.39,19.67,21.06,29.5,26.72,21.22,14.33,,
Illinois,1978,-4.28,-3.33,5.61,17.61,21.67,28.67,29.72,28.94,28.17,17.94,11.28,2.83
Illinois,1983,1.67,5.78,9.56,13.11,20.72,28.61,32.72,32.94,26.67,18.89,11.61,-4.28
Illinois,1988,0.0,1.83,10.72,18.33,26.11,31.17,32.33,32.22,26.89,15.72,10.94,4.94
Illinois,1993,1.72,1.83,7.17,15.11,23.5,27.17,29.72,29.28,21.78,17.33,8.78,3.22
Illinois,1998,3.56,8.28,9.11,17.06,25.44,27.5,29.44,29.39,28.22,19.83,12.78,6.72
Illinois,2003,-0.44,1.61,11.56,18.5,22.06,26.06,29.67,30.28,24.39,19.39,12.17,5.17
Illinois,2008,2.56,0.94,9.11,16.67,21.22,28.78,29.39,28.33,25.5,18.72,10.06,2.56
Illinois,2013,3.56,3.33,5.72,16.11,23.67,27.56,28.33,28.78,27.28,18.72,9.11,1.78
Illinois,2018,0.83,5.28,9.11,13.44,28.0,29.5,29.61,29.33,27.28,18.11,5.89,5.72
Illinois,2023,5.06,8.17,10.11,19.22,24.72,29.11,30.0,28.72,26.61,19.78,,
Indiana,1978,-3.89,-3.22,5.33,17.22,21.06,28.11,29.11,28.06,27.56,17.17,12.0,4.39
Indiana,1983,2.11,6.11,10.61,13.39,20.39,28.22,32.11,31.89,26.72,18.61,11.94,-2.5
Indiana,1988,0.44,2.06,10.33,17.33,25.28,30.78,31.67,31.0,25.44,14.61,11.11,4.56
Indiana,1993,3.06,1.89,7.33,15.11,23.33,26.33,29.78,29.06,21.89,17.22,9.56,3.06
Indiana,1998,4.94,8.44,9.83,17.28,25.17,27.22,28.67,29.0,28.11,19.67,12.78,7.39
